type,area_sqft,price,beds,bath,city,area
Apartment,1200,16000,3,2,Chattogram,Chattogram
Apartment,3500,200000,4,5,Dhaka,Gulshan
Apartment,1200,18000,3,3,Chattogram,25 No. Rampur Ward
Apartment,1706,26000,3,3,Chattogram,15 No. Bagmoniram Ward
Apartment,1100,14000,2,2,Chattogram,12 No. Sarai Para Ward
Apartment,1100,18000,3,2,Chattogram,12 No. Sarai Para Ward
Apartment,600,10500,1,1,Chattogram,Baluchara
Apartment,2190,150000,3,4,Dhaka,Uttara
Apartment,1850,50000,3,3,Dhaka,Dhaka
Apartment,2150,55000,3,3,Dhaka,Uttara
Apartment,3600,250000,4,4,Dhaka,Gulshan
Apartment,1654,16000,3,3,Dhaka,Rajuk Uttara Apartment Project
Apartment,700,17000,2,2,Dhaka,Badda
Apartment,1550,15000,3,3,Dhaka,Chandrima Model Town
Apartment,1300,40000,3,4,Dhaka,Uttara
Apartment,1386,30000,3,3,Dhaka,Uttara
Apartment,1250,20000,3,3,Dhaka,Adabor
Apartment,1450,30000,3,3,Chattogram,North Khulshi
Apartment,1200,28000,3,3,Chattogram,Chattogram
Apartment,1000,30000,3,3,Dhaka,Motijheel
Apartment,800,13000,2,2,Dhaka,Ahmed Nagar
Apartment,2150,55000,3,3,Dhaka,Uttara
Duplex,4000,350000,5,5,Dhaka,Baridhara
Apartment,4099,250000,4,4,Dhaka,Baridhara
Apartment,850,15000,2,2,Dhaka,Mirpur
Apartment,720,16000,2,2,Dhaka,Mohammadpur
Apartment,1050,15500,2,2,Dhaka,Mirpur
Apartment,2700,70000,4,4,Dhaka,Dhaka
Duplex,4000,130000,5,6,Dhaka,Khilkhet
Apartment,3700,280000,3,3,Dhaka,Gulshan
Apartment,1200,25000,3,3,Dhaka,Badda
Apartment,1754,16000,3,3,Dhaka,Rajuk Uttara Apartment Project
Apartment,1365,25000,3,3,Dhaka,Dhaka
Apartment,1000,23000,3,2,Dhaka,Badda
Apartment,1400,23000,3,3,Dhaka,Adabor
Apartment,2500,220000,3,3,Dhaka,Gulshan
Apartment,800,16000,2,2,Dhaka,Mansurabad Housing Society
Apartment,800,15000,2,2,Dhaka,Dhaka
Apartment,650,20000,2,2,Dhaka,Uttara
Apartment,1350,22000,3,3,Dhaka,Agargaon
Apartment,1000,17000,3,2,Dhaka,Mansurabad Housing Society
Apartment,700,11000,2,2,Dhaka,Uttar Khan
Apartment,650,10000,2,2,Dhaka,Cantonment
Apartment,1250,20000,3,3,Dhaka,Mansurabad Housing Society
Apartment,1200,20000,3,2,Dhaka,Banasree
Apartment,3000,110000,4,4,Dhaka,Dhaka
Apartment,1500,31000,3,3,Dhaka,Dhaka
Apartment,1654,15000,3,3,Dhaka,Rajuk Uttara Apartment Project
Apartment,800,14000,2,2,Dhaka,Badda
Apartment,1300,30000,3,3,Dhaka,Uttara
Apartment,1153,35000,3,3,Chattogram,Chawk Bazar
Apartment,1000,14000,2,2,Chattogram,Block L
Apartment,800,18500,3,2,Dhaka,Uttar Badda
Apartment,900,20000,2,2,Dhaka,Banasree
Apartment,800,18000,2,2,Dhaka,Uttara
Apartment,1450,26000,3,3,Dhaka,Banasree
Apartment,950,18000,2,2,Dhaka,Uttara
Apartment,1300,17000,3,3,Chattogram,24 No. North Agrabad Ward
Apartment,1250,12500,3,2,Chattogram,24 No. North Agrabad Ward
Apartment,1500,17000,3,3,Chattogram,Muzaffarnagar Residential Area
Apartment,3700,300000,4,4,Dhaka,Baridhara
Apartment,1200,25000,3,2,Dhaka,Banasree
Apartment,2100,27000,3,4,Dhaka,Uttara
Apartment,1100,16000,3,2,Chattogram,Double Mooring
Apartment,700,10000,2,1,Dhaka,Dakshin Khan
Apartment,950,14000,3,2,Dhaka,Mirpur
Apartment,1260,18000,3,3,Chattogram,Double Mooring
Apartment,1250,13000,3,2,Chattogram,Bandartila
Apartment,950,15000,2,2,Chattogram,South Agrabad
Apartment,1200,26000,3,3,Dhaka,Badda
Apartment,850,20000,2,2,Dhaka,Uttara
Apartment,800,10000,1,1,Chattogram,Munir Nagar
Apartment,1100,20000,3,2,Dhaka,Dhaka
Apartment,900,14000,3,2,Dhaka,Dakshin Khan
Apartment,900,14000,3,2,Dhaka,Dakshin Khan
Apartment,1200,22000,3,3,Dhaka,Dhaka
Apartment,1400,20500,3,3,Dhaka,Uttara
Apartment,650,11000,2,1,Dhaka,Ahmed Nagar
Apartment,700,14000,2,2,Dhaka,Mirpur
Apartment,1200,15000,3,3,Dhaka,Banasree
Apartment,1200,20000,3,3,Dhaka,Uttara
Apartment,1400,35000,3,3,Dhaka,Uttara
Apartment,2800,90000,4,5,Chattogram,North Khulshi
Apartment,3100,300000,3,3,Dhaka,Gulshan
Apartment,850,12000,2,2,Dhaka,Dakshin Khan
Apartment,900,19000,2,2,Dhaka,Uttara
Apartment,1550,35000,3,3,Dhaka,Uttara
Apartment,600,8000,2,1,Dhaka,Section 10
Apartment,1200,15000,3,2,Dhaka,Dakshin Khan
Apartment,500,8000,2,1,Dhaka,Mirpur
Apartment,700,15000,2,2,Dhaka,Dakshin Khan
Apartment,900,16500,2,2,Dhaka,Uttara
Apartment,1000,17000,2,2,Dhaka,Uttara
Apartment,1600,25000,3,4,Dhaka,Uttara
Apartment,1000,15000,3,2,Dhaka,Dakshin Khan
Apartment,1500,20000,3,3,Dhaka,Uttara
Apartment,900,13000,2,2,Chattogram,6 No East Sholoshohor Ward
Apartment,850,12000,2,2,Dhaka,Uttara
Apartment,1000,19000,2,2,Dhaka,Uttara
Apartment,900,11500,2,2,Dhaka,Dakshin Khan
Apartment,2700,70000,5,4,Dhaka,Dhaka
Apartment,1100,16000,3,3,Dhaka,Mirpur
Apartment,880,18000,2,2,Dhaka,Uttara
Apartment,700,16000,2,2,Dhaka,Badda
Apartment,1580,25000,3,3,Dhaka,Bashundhara R-A
Apartment,1963,55000,3,3,Dhaka,Uttara
Apartment,1400,30000,3,3,Dhaka,Sutrapur
Apartment,1400,30000,4,3,Dhaka,Badda
Apartment,1275,18000,3,3,Dhaka,Mirpur
Apartment,1530,40000,3,3,Dhaka,Uttara
Apartment,700,11000,2,2,Dhaka,Dakshin Khan
Apartment,1400,20000,3,3,Dhaka,Uttara
Apartment,1200,25000,3,2,Dhaka,Section 12
Apartment,900,20000,2,2,Dhaka,Uttara
Apartment,800,10000,2,2,Dhaka,Dhaka
Apartment,2200,60000,3,4,Dhaka,Sector 7
Apartment,300,13000,1,1,Dhaka,Uttara
Apartment,700,13000,2,2,Dhaka,Banasree
Apartment,500,13000,2,1,Dhaka,Badda
Apartment,1600,34000,4,3,Chattogram,16 No. Chawk Bazaar Ward
Apartment,3720,250000,3,3,Dhaka,Gulshan
Apartment,1250,25000,3,3,Dhaka,Mirpur
Apartment,1450,25000,3,3,Dhaka,Mohammadpur
Apartment,950,20000,2,2,Dhaka,Uttara
Building,10000,400000,22,10,Dhaka,Uttara
Apartment,1430,32500,3,3,Dhaka,Mohammadpur
Apartment,2200,50000,4,5,Dhaka,Uttara
Apartment,1100,22000,3,2,Dhaka,Uttara
Apartment,1500,30000,3,4,Dhaka,Uttara
Apartment,900,20000,2,2,Dhaka,Uttara
Apartment,720,14000,2,2,Dhaka,Badda
Apartment,1700,60000,3,3,Dhaka,Dhaka
Apartment,1654,15000,3,4,Dhaka,Rajuk Uttara Apartment Project
Apartment,2159,50000,4,4,Dhaka,Uttara
Apartment,700,15000,2,2,Dhaka,Badda
Apartment,1900,40000,3,3,Dhaka,Uttara
Apartment,2000,40000,3,4,Dhaka,Uttara
Apartment,2400,60000,4,5,Dhaka,Uttara
Apartment,2500,50000,4,4,Dhaka,Uttara
Apartment,1500,32000,3,4,Dhaka,Uttara
Apartment,950,20000,2,2,Dhaka,Uttara
Apartment,2250,35000,3,4,Chattogram,Chattogram
Apartment,1150,15000,3,2,Dhaka,Dakshin Khan
Apartment,1200,20000,3,3,Dhaka,Section 1
Apartment,1250,16000,3,3,Dhaka,Badda
Apartment,750,17000,2,2,Dhaka,Badda
Apartment,700,15000,2,2,Dhaka,Section 1
Apartment,800,19000,2,2,Dhaka,Uttara
Apartment,1050,18000,3,2,Dhaka,Adabor
Apartment,2200,55000,4,4,Dhaka,Uttara
Apartment,900,16000,3,2,Dhaka,Dhaka
Apartment,650,10000,1,1,Chattogram,South Agrabad
Apartment,1200,24000,3,3,Dhaka,Uttara
Apartment,950,20000,3,2,Dhaka,Badda
Apartment,2200,70000,3,3,Dhaka,Dhaka
Apartment,720,16000,2,2,Dhaka,Mohammadpur
Apartment,900,20000,2,2,Dhaka,Uttara
Apartment,900,16000,2,2,Dhaka,Uttara
Apartment,1654,15000,3,4,Dhaka,Rajuk Uttara Apartment Project
Apartment,1654,15000,3,4,Dhaka,Rajuk Uttara Apartment Project
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,700,10000,2,2,Dhaka,Dhaka
Apartment,800,11000,2,2,Dhaka,Dhaka
Apartment,1100,15000,3,2,Dhaka,Dakshin Khan
Apartment,1000,14000,3,3,Dhaka,Dhaka
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,1000,14000,3,3,Dhaka,Dhaka
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,1000,14000,3,3,Dhaka,Dhaka
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,1000,14000,3,3,Dhaka,Dhaka
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,700,10000,2,2,Dhaka,Uttar Khan
Apartment,720,15000,2,2,Dhaka,Dhaka
Apartment,650,11000,2,2,Dhaka,Manikdi
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,700,10000,2,2,Dhaka,Dakshin Khan
Apartment,1000,26000,3,3,Dhaka,Section 12
Apartment,1000,15000,3,2,Dhaka,Dakshin Khan
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,1100,25000,3,2,Dhaka,Section 12
Apartment,600,8000,2,1,Dhaka,Ahmed Nagar
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,1000,14000,3,3,Dhaka,Dhaka
Apartment,800,13000,2,2,Dhaka,Dhaka
Apartment,900,14000,3,3,Dhaka,Dhaka
Apartment,1000,17000,2,2,Chattogram,Double Mooring
Apartment,800,12000,2,2,Dhaka,Dhaka
Apartment,1200,14000,3,2,Dhaka,Dakshin Khan
Apartment,1200,15000,3,2,Dhaka,Dakshin Khan
Apartment,1200,28000,3,2,Chattogram,Sugandha Residential Area
Apartment,1200,16000,3,2,Dhaka,Dhaka
Apartment,1200,15000,3,2,Dhaka,Dakshin Khan
Apartment,1200,15000,3,2,Dhaka,Dakshin Khan
Apartment,600,8000,2,1,Dhaka,Ahmed Nagar
Apartment,1400,30000,3,3,Dhaka,Section 12
Apartment,850,13000,2,2,Dhaka,Mirpur
Apartment,500,11000,2,1,Dhaka,Cantonment
Apartment,1260,14000,3,3,Chattogram,12 No. Sarai Para Ward
Apartment,1380,18000,3,3,Dhaka,Ahmed Nagar
Apartment,900,18000,2,2,Dhaka,Uttara
Apartment,1800,32000,4,4,Dhaka,Uttara
Apartment,1000,15000,3,2,Dhaka,Ahmed Nagar
Apartment,900,19000,2,2,Dhaka,Uttara
Apartment,500,8500,2,1,Dhaka,Ahmed Nagar
Apartment,750,15000,2,2,Dhaka,Dhaka
Apartment,820,11000,2,2,Dhaka,Mirpur
Apartment,850,15000,2,2,Chattogram,Halishahar
Apartment,700,13500,2,2,Dhaka,Mirpur
Apartment,900,13000,2,1,Chattogram,36 Goshail Danga Ward
Apartment,550,10000,2,1,Dhaka,Mirpur
Apartment,1654,14000,3,4,Dhaka,Rajuk Uttara Apartment Project
Apartment,1654,14000,3,4,Dhaka,Rajuk Uttara Apartment Project
Apartment,1010,12000,2,2,Chattogram,37 No. North-Middle Halishahar Ward
Apartment,1124,18000,3,3,Chattogram,Bandartila
Apartment,2160,50000,3,5,Dhaka,Sector 4
Apartment,720,16000,2,2,Dhaka,Dhaka
Apartment,1300,17000,3,3,Dhaka,Sayednagar
Apartment,720,15500,2,2,Dhaka,Dhaka
Apartment,1200,15000,3,3,Dhaka,Sayednagar
Apartment,800,16000,2,2,Dhaka,Adabor
Apartment,1000,21000,3,2,Dhaka,Uttara
Apartment,850,15000,2,2,Chattogram,11 No. South Kattali Ward
Apartment,700,11000,2,2,Chattogram,Hossain Ahmed Para
Apartment,1400,20000,3,3,Dhaka,Uttara
Apartment,700,11000,2,2,Dhaka,Badda
Apartment,1520,25000,3,3,Dhaka,Mirpur
Apartment,1100,16000,3,3,Chattogram,11 No. South Kattali Ward
Apartment,800,11000,2,1,Chattogram,Chattogram
Apartment,1450,25000,3,3,Dhaka,Bashundhara R-A
Apartment,700,13000,2,1,Chattogram,Chattogram
Apartment,1400,20000,3,3,Chattogram,25 No. Rampur Ward
Apartment,900,12000,2,1,Chattogram,25 No. Rampur Ward
Apartment,1100,17000,3,3,Chattogram,Hill View R/A
Apartment,1200,21000,3,3,Chattogram,Hill View R/A
Apartment,800,10000,2,2,Dhaka,Faydabad
Apartment,1100,14500,3,2,Chattogram,Chattogram
Apartment,1150,16000,3,3,Chattogram,25 No. Rampur Ward
Apartment,800,12000,2,2,Chattogram,Bayazid
Apartment,1150,18000,3,2,Chattogram,South Agrabad
Apartment,1400,25000,3,3,Chattogram,Double Mooring
Apartment,1150,17000,3,3,Dhaka,Mirpur
Apartment,2000,100000,4,4,Dhaka,Dhaka
Apartment,1065,17000,3,2,Chattogram,25 No. Rampur Ward
Apartment,1200,18000,3,2,Chattogram,East Rampur
Apartment,950,12000,2,2,Dhaka,Dhaka
Apartment,1430,35000,3,3,Dhaka,Uttara
Apartment,700,13000,2,2,Dhaka,Dolipara
Apartment,900,11500,2,2,Chattogram,26 No. North Halishahar Ward
Apartment,800,12000,2,2,Chattogram,24 No. North Agrabad Ward
Apartment,1440,18000,3,3,Chattogram,24 No. North Agrabad Ward
Apartment,800,18000,2,2,Dhaka,Uttara
Apartment,1675,15000,3,4,Dhaka,Rajuk Uttara Apartment Project
Apartment,550,10000,2,1,Dhaka,Dakshin Khan
Apartment,800,13000,2,2,Dhaka,Dolipara
Apartment,750,15000,2,2,Dhaka,Dakshin Khan
Apartment,800,12500,2,2,Dhaka,Faydabad
Apartment,1654,14000,3,3,Dhaka,Rajuk Uttara Apartment Project
Apartment,1654,15000,3,3,Dhaka,Rajuk Uttara Apartment Project
Apartment,1000,16000,2,2,Dhaka,Uttara
Apartment,900,20000,2,2,Dhaka,Uttara
Apartment,1350,28000,3,3,Dhaka,Section 12
Apartment,1350,28000,3,3,Dhaka,Section 12
Apartment,600,10500,2,1,Dhaka,Dakshin Khan
Apartment,800,14000,2,2,Dhaka,Dhaka
Apartment,1000,15500,3,2,Dhaka,Agargaon
Apartment,3300,200000,4,4,Dhaka,Dhaka
Apartment,600,10000,2,1,Dhaka,Dakshin Khan
Apartment,1300,26000,3,3,Dhaka,Section 12
Apartment,750,11000,2,2,Chattogram,24 No. North Agrabad Ward
Apartment,760,11000,2,2,Chattogram,24 No. North Agrabad Ward
Apartment,1645,14000,3,4,Dhaka,Rajuk Uttara Apartment Project
Apartment,1100,15000,3,2,Dhaka,Dakshin Khan
Apartment,1000,12000,2,2,Chattogram,Halishahar Housing Estate
Apartment,1390,35000,3,4,Dhaka,Dhaka
Apartment,1010,10000,2,2,Chattogram,Chattogram
Apartment,950,14500,2,2,Chattogram,Bayazid
Apartment,1000,11000,3,2,Chattogram,12 No. Sarai Para Ward
Apartment,800,14500,2,2,Chattogram,Double Mooring
Apartment,3000,200000,4,4,Dhaka,Gulshan
Apartment,1400,20000,3,3,Dhaka,Uttara
Apartment,900,19000,2,2,Dhaka,Uttara
Apartment,1200,25000,3,3,Dhaka,Uttara
Apartment,950,12000,2,2,Dhaka,Dakshin Khan
Apartment,1150,21000,3,3,Chattogram,Khulshi
Apartment,1450,28000,3,3,Dhaka,Uttara
Apartment,770,11000,2,2,Chattogram,24 No. North Agrabad Ward
Apartment,1224,22000,3,3,Chattogram,7 No. West Sholoshohor Ward
Apartment,1925,45000,3,4,Dhaka,Dhaka
Apartment,770,13500,2,2,Chattogram,25 No. Rampur Ward
Apartment,1300,38000,3,3,Dhaka,Motijheel
Apartment,1200,18800,3,2,Chattogram,Double Mooring
Apartment,1200,14000,3,2,Chattogram,12 No. Sarai Para Ward
Apartment,1450,26000,3,3,Dhaka,Section 12
Apartment,700,12000,2,2,Dhaka,Badda
Apartment,300,12000,1,1,Dhaka,Uttara
Apartment,900,11000,2,2,Chattogram,25 No. Rampur Ward
Apartment,1654,14000,3,4,Dhaka,Rajuk Uttara Apartment Project
Apartment,900,18300,2,2,Dhaka,Uttara
Apartment,1500,25000,3,3,Dhaka,Kalachandpur
Apartment,1100,14000,3,3,Dhaka,Ahmed Nagar
Apartment,700,11000,2,2,Dhaka,Uttar Khan
Apartment,1000,15000,3,2,Dhaka,Adabor
Apartment,800,14000,2,2,Chattogram,Chattogram
Apartment,1400,32000,3,3,Dhaka,Uttara
Apartment,750,12000,2,2,Dhaka,Badda
Apartment,1000,20000,3,2,Dhaka,Uttara
Apartment,850,14000,2,2,Chattogram,Chattogram
Apartment,2200,65000,5,4,Dhaka,Uttara
Apartment,1300,14000,3,3,Chattogram,24 No. North Agrabad Ward
Apartment,1675,32000,3,4,Dhaka,Uttara
Apartment,1960,40000,4,5,Dhaka,Uttara
Apartment,1540,35000,3,3,Dhaka,Uttara
Apartment,600,13000,2,1,Dhaka,Dhaka
Apartment,990,14000,2,2,Chattogram,7 No. West Sholoshohor Ward
Apartment,900,11000,2,2,Chattogram,12 No. Sarai Para Ward
Apartment,1100,16000,3,3,Chattogram,Double Mooring
Apartment,1065,16500,3,2,Chattogram,25 No. Rampur Ward
Apartment,950,10000,2,2,Chattogram,Chattogram
Apartment,800,18000,2,2,Dhaka,Uttara
Apartment,750,18000,2,2,Dhaka,Badda
Apartment,1200,20000,3,3,Chattogram,Chattogram
Apartment,2000,100000,3,3,Dhaka,Dhaka
Apartment,950,20000,2,3,Dhaka,Uttara
Apartment,700,15000,2,2,Dhaka,Dhaka
Apartment,1000,22000,2,2,Chattogram,Chattogram
Apartment,1600,16000,3,3,Chattogram,West Khulshi
Apartment,1000,26000,2,3,Dhaka,Badda
Apartment,1195,23000,3,3,Dhaka,Uttara
Apartment,1000,13000,2,2,Chattogram,Double Mooring
Apartment,1200,14000,2,2,Chattogram,24 No. North Agrabad Ward
Apartment,1350,17000,3,3,Dhaka,Dhaka
Apartment,800,14000,2,2,Dhaka,Dhaka
Apartment,1200,21000,3,3,Chattogram,Chattogram
Apartment,1500,60000,3,3,Dhaka,Uttara
Apartment,1300,14000,3,2,Chattogram,24 No. North Agrabad Ward
Apartment,800,8000,2,1,Chattogram,Chattogram
Apartment,800,8000,2,1,Chattogram,Double Mooring
Apartment,700,10500,2,1,Chattogram,Kaibalyadham Housing Society
Apartment,1285,18000,3,3,Dhaka,Section 1
Apartment,2200,80000,3,3,Dhaka,Baridhara
Apartment,700,10000,2,2,Dhaka,Dhaka
Apartment,1400,25000,3,3,Dhaka,Adabor
Apartment,1150,16000,3,2,Dhaka,Banasree
Apartment,1250,15000,2,2,Chattogram,7 No. West Sholoshohor Ward
Apartment,1150,14000,3,2,Chattogram,Bakalia
Apartment,1500,20000,3,3,Dhaka,Uttara
Apartment,800,15000,2,2,Dhaka,Mansurabad Housing Society
Apartment,800,15000,2,2,Dhaka,Dhaka
Apartment,750,15000,2,2,Dhaka,Dhaka
Apartment,1400,16000,3,3,Dhaka,Uttara
Apartment,1500,20000,3,3,Dhaka,Uttara
Apartment,800,15000,2,2,Dhaka,Mansurabad Housing Society
Apartment,800,15000,2,2,Dhaka,Adabor
Apartment,2350,120000,4,4,Dhaka,Baridhara
Apartment,800,15000,2,2,Dhaka,Dhaka
Apartment,700,15000,2,2,Dhaka,Dhaka
Apartment,1800,30000,3,3,Dhaka,Dhaka
Apartment,1650,35000,3,4,Dhaka,Badda
Apartment,850,10000,2,2,Chattogram,Oxygen
Apartment,1200,19000,3,4,Dhaka,Dhaka
Apartment,900,12000,2,2,Chattogram,25 No. Rampur Ward
Apartment,1100,13000,3,3,Dhaka,Dhaka
Apartment,950,13000,2,2,Chattogram,Chattogram
Apartment,1450,20000,3,3,Dhaka,Uttara
Apartment,850,10500,2,2,Chattogram,Bayazid
Apartment,1500,20000,3,3,Dhaka,Dhaka
Apartment,900,18000,2,2,Dhaka,Uttara
Apartment,1700,30000,3,3,Chattogram,Panchlaish
Apartment,800,13000,2,1,Dhaka,Uttara
Apartment,2000,33200,3,3,Chattogram,Khulshi
Apartment,1200,11000,3,3,Dhaka,Dakshin Khan
Apartment,1250,20000,3,3,Chattogram,Khulshi
Apartment,800,16000,2,2,Dhaka,Dhaka
Apartment,900,14000,3,2,Dhaka,Dakshin Khan
Apartment,1600,35000,3,3,Dhaka,Uttara
Apartment,1250,16000,3,3,Dhaka,Mirpur
Apartment,1550,65000,3,3,Dhaka,Uttara
Apartment,1700,28000,3,4,Dhaka,Dhaka
Apartment,720,16000,2,2,Dhaka,Dhaka
Apartment,2250,80000,3,3,Dhaka,Baridhara
Apartment,1800,50000,3,3,Dhaka,Uttara
Apartment,1654,16000,3,3,Dhaka,Rajuk Uttara Apartment Project
Apartment,1250,18000,3,3,Chattogram,Chattogram
Apartment,1300,17000,3,3,Chattogram,11 No. South Kattali Ward
